tourney_spectators,year,tourney_id
4058,2016,2016-W-C50-FRA-05A-2016-50
4054,2016,2016-W-C10-BEL-04A-2016-10
4048,2016,2016-7557-C
4041,2016,2016-0544-C
4036,2016,2016-W-C50-CHN-01A-2016-50
4030,2016,2016-W-C25-CZE-01A-2016-25
4026,2016,2016-W-C25-BRA-05A-2016-25
4022,2016,2016-0363-C
4009,2016,2016-W-C50-CHN-07A-2016-50
4003,2016,2016-W-C25-THA-02A-2016-25
4002,2016,2016-6787-C
3996,2016,2016-W-C10-SLO-01A-2016-10
3993,2016,2016-7163-A
3985,2016,2016-W-C10-TUR-23A-2016-10
3966,2016,2016-W-C10-POL-02A-2016-10
3966,2016,2016-0773-A
3957,2016,2016-W-C25-HUN-02A-2016-25
3954,2016,2016-0499-A
3951,2016,2016-0360-A
3948,2016,2016-W-C10-TUR-14A-2016-10
3944,2016,2016-W-C10-CRO-08A-2016-10
3935,2016,2016-6490-C
3933,2016,2016-1068-I
3933,2016,2016-0252-C
3930,2016,2016-W-C10-KAZ-03A-2016-10
3929,2016,2016-1743-C
3913,2016,2016-1074-I
3909,2016,2016-W-C10-FIN-03A-2016-10
3909,2016,2016-W-C100-FRA-01A-2016-100
3908,2016,2016-W-C10-COL-01A-2016-10
3908,2016,2016-W-C25-UKR-02A-2016-25
3905,2016,2016-W-C25-NED-01A-2016-25
3900,2016,2016-7494-C
3899,2016,2016-W-C10-FRA-08A-2016-10
3898,2016,2016-W-C10-TUN-09A-2016-10
3898,2016,2016-W-C10-KAZ-04A-2016-10
3896,2016,2016-7474-C
3890,2016,2016-W-C50-CHN-04A-2016-50
3885,2016,2016-6239-C
3884,2016,2016-3463-C
3879,2016,2016-W-C10-TUR-25A-2016-10
3867,2016,2016-7540-C
3859,2016,2016-7339-C
3855,2016,2016-W-C25-CAN-02A-2016-25
3855,2016,2016-W-C25-USA-03A-2016-25
3850,2016,2016-W-C10-TUN-21A-2016-10
3832,2016,2016-W-C25-BRA-02A-2016-25
3831,2016,2016-W-C50-HUN-01A-2016-50
3829,2016,2016-7085-C
3827,2016,2016-M052-I
3827,2016,2016-M052-A
3824,2016,2016-W-C10-FRA-03A-2016-10
3824,2016,2016-6114-C
3821,2016,2016-W-C10-EGY-18A-2016-10
3810,2016,2016-7009-C
3808,2016,2016-W-C10-TUR-24A-2016-10
3802,2016,2016-W-C10-TUN-11A-2016-10
3799,2016,2016-7555-C
3787,2016,2016-W-C10-TUR-41A-2016-10
3782,2016,2016-W-C25-IND-03A-2016-25
3781,2016,2016-1005-I
3778,2016,2016-W-C10-SRB-05A-2016-10
3768,2016,2016-W-C10-KOR-07A-2016-10
3765,2016,2016-W-C10-GBR-04B-2016-10
3762,2016,2016-7351-C
3760,2016,2016-W-C10-ITA-06A-2016-10
3760,2016,2016-W-C10-THA-03A-2016-10
3760,2016,2016-7480-A
3756,2016,2016-W-C10-FIN-02A-2016-10
3750,2016,2016-1050-I
3749,2016,2016-W-C10-TUN-07A-2016-10
3748,2016,2016-7393-C
3745,2016,2016-W-C25-IND-01A-2016-25
3743,2016,2016-W-C50-SUI-01A-2016-50
3738,2016,2016-7004-C
3737,2016,2016-1027-I
3735,2016,2016-0300-I
3729,2016,2016-W-C10-GER-02A-2016-10
3729,2016,2016-W-C10-ROU-03A-2016-10
3726,2016,2016-W-C50-MEX-01A-2016-50
3725,2016,2016-W-C10-FRA-05A-2016-10
3723,2016,2016-W-C25-MEX-04A-2016-25
3722,2016,2016-W-C10-EGY-04A-2016-10
3722,2016,2016-7581-A
3718,2016,2016-W-C10-EGY-07A-2016-10
3717,2016,2016-3945-C
3717,2016,2016-W-C50-TUR-01A-2016-50
3710,2016,2016-6865-C
3710,2016,2016-W-C25-USA-20A-2016-25
3707,2016,2016-7440-C
3706,2016,2016-W-C25-BUL-02A-2016-25
3705,2016,2016-1090-I
3705,2016,2016-W-C25-GER-07A-2016-25
3704,2016,2016-1087-I
3704,2016,2016-W-C10-ROU-08A-2016-10
3699,2016,2016-W-C25-CHN-01A-2016-25
3698,2016,2016-W-C25-IND-05A-2016-25
3694,2016,2016-W-C25-FRA-04A-2016-25
3688,2016,2016-3351-C
3688,2016,2016-0398-C
3686,2016,2016-0322-A
3682,2016,2016-W-C10-ISR-07A-2016-10
3678,2016,2016-W-C10-POR-06A-2016-10
3676,2016,2016-W-C10-ROU-09A-2016-10
3667,2016,2016-W-C10-TUN-01A-2016-10
3663,2016,2016-W-C10-NED-05A-2016-10
3662,2016,2016-W-C25-ITA-07A-2016-25
3662,2016,2016-0891-A
3661,2016,2016-7559-C
3653,2016,2016-W-C25-KAZ-02A-2016-25
3650,2016,2016-W-C10-EGY-25A-2016-10
3649,2016,2016-W-C50-JPN-03A-2016-50
3640,2016,2016-W-C50-USA-12A-2016-50
3638,2016,2016-7318-C
3637,2016,2016-3618-C
3632,2016,2016-W-C10-USA-04B-2016-10
3631,2016,2016-W-C25-ROU-01A-2016-25
3630,2016,2016-7161-A
3623,2016,2016-W-C25-USA-15A-2016-25
3622,2016,2016-W-C25-RUS-02A-2016-25
3621,2016,2016-W-C25-CAN-01A-2016-25
3614,2016,2016-7100-C
3612,2016,2016-M001-P
3612,2016,2016-M001-A
3612,2016,2016-W-C10-HUN-02A-2016-10
3612,2016,2016-W-C25-GER-03A-2016-25
3602,2016,2016-0602-P
3594,2016,2016-W-C10-RSA-01A-2016-10
3592,2016,2016-W-C10-ARG-02A-2016-10
3590,2016,2016-W-C25-USA-06A-2016-25
3588,2016,2016-W-C10-CZE-02A-2016-10
3587,2016,2016-2205-C
3584,2016,2016-7391-C
3581,2016,2016-7025-C
3581,2016,2016-W-C10-KAZ-02A-2016-10
3580,2016,2016-W-C10-ISR-08A-2016-10
3580,2016,2016-5047-C
3579,2016,2016-W-C25-JPN-01A-2016-25
3578,2016,2016-W-C10-GRE-11A-2016-10
3575,2016,2016-W-C25-USA-09A-2016-25
3572,2016,2016-1763-C
3571,2016,2016-0686-C
3569,2016,2016-W-C25-BRA-04A-2016-25
3561,2016,2016-W-C10-COL-02A-2016-10
3559,2016,2016-W-C10-BRA-03A-2016-10
3555,2016,2016-W-C50-AUS-01A-2016-50
3552,2016,2016-7121-C
3551,2016,2016-7553-C
3551,2016,2016-W-WITF-ESP-21A-2016-25
3550,2016,2016-W-C10-KAZ-04B-2016-10
3549,2016,2016-1023-I
3545,2016,2016-W-C25-USA-08A-2016-25
3543,2016,2016-W-C25-CHI-02A-2016-25
3539,2016,2016-0396-C
3538,2016,2016-6156-C
3537,2016,2016-6757-C
3537,2016,2016-W-C10-ESP-11A-2016-10
3536,2016,2016-W-C10-ROU-11A-2016-10
3535,2016,2016-W-C50-ITA-06A-2016-50
3533,2016,2016-W-C10-NED-01A-2016-10
3532,2016,2016-W-C25-JPN-01B-2016-25
3531,2016,2016-W-C10-RUS-01A-2016-10
3531,2016,2016-W-C10-CZE-05A-2016-10
3530,2016,2016-W-C10-EGY-46A-2016-10
3530,2016,2016-W-C10-EGY-19A-2016-10
3526,2016,2016-W-C25-ITA-08A-2016-25
3522,2016,2016-0526-C
3520,2016,2016-W-C25-ESP-01A-2016-25
3520,2016,2016-1086-P
3518,2016,2016-W-C10-ROU-10A-2016-10
3515,2016,2016-W-C10-KOR-06A-2016-10
3514,2016,2016-W-C10-EGY-34A-2016-10
3512,2016,2016-W-C50-ITA-01A-2016-50
3511,2016,2016-W-C10-BEL-02A-2016-10
3511,2016,2016-W-C25-USA-05A-2016-25
3510,2016,2016-W-C10-TUN-16A-2016-10
3508,2016,2016-W-C50-TUN-01A-2016-50
3508,2016,2016-W-C10-EGY-26A-2016-10
3507,2016,2016-W-C10-ESP-14A-2016-10
3505,2016,2016-W-C10-POR-09A-2016-10
3502,2016,2016-6590-C
3501,2016,2016-W-C10-ESP-19A-2016-10
3499,2016,2016-W-C10-TUN-27A-2016-10
3494,2016,2016-W-C10-TUR-13A-2016-10
3490,2016,2016-7293-C
3488,2016,2016-M055-C
3487,2016,2016-W-C10-GBR-04A-2016-10
3483,2016,2016-W-C10-EGY-13A-2016-10
3478,2016,2016-W-C10-MAR-02A-2016-10
3472,2016,2016-W-C25-KOR-03A-2016-25
3470,2016,2016-0718-P
3468,2016,2016-0467-C
3466,2016,2016-7482-C
3462,2016,2016-7434-A
3458,2016,2016-W-C10-ITA-21A-2016-10
3458,2016,2016-W-C10-TUR-09A-2016-10
3453,2016,2016-6204-C
3447,2016,2016-W-C10-ESP-20A-2016-10
3445,2016,2016-W-C10-MRI-02A-2016-10
3444,2016,2016-W-C10-SVK-02A-2016-10
3444,2016,2016-W-C25-USA-13A-2016-25
3443,2016,2016-W-C10-ARG-03A-2016-10
3442,2016,2016-W-C10-FRA-06A-2016-10
3441,2016,2016-W-C25-USA-19A-2016-25
3441,2016,2016-W-C10-ESP-04A-2016-10
3439,2016,2016-6809-C
3434,2016,2016-5067-C
3433,2016,2016-1082-I
3430,2016,2016-W-C10-TUR-15A-2016-10
3430,2016,2016-W-C10-RUS-02A-2016-10
3430,2016,2016-W-C25-FRA-01A-2016-25
3430,2016,2016-W-C25-POL-01A-2016-25
3429,2016,2016-W-C10-FIN-01A-2016-10
3427,2016,2016-W-C10-KOR-04A-2016-10
3424,2016,2016-W-C25-HUN-03A-2016-25
3419,2016,2016-6244-C
3417,2016,2016-W-C10-TUR-38B-2016-10
3414,2016,2016-W-C10-ITA-04A-2016-10
3411,2016,2016-W-C10-SLO-03A-2016-10
3409,2016,2016-W-C25-HUN-01A-2016-25
3407,2016,2016-W-C10-EGY-28A-2016-10
3400,2016,2016-W-C10-TUN-22A-2016-10
3397,2016,2016-W-C10-GBR-03A-2016-10
3395,2016,2016-W-C10-SUI-02A-2016-10
3395,2016,2016-W-C50-TUR-03A-2016-50
3395,2016,2016-W-C25-BEL-01A-2016-25
3395,2016,2016-W-C10-FRA-02A-2016-10
3392,2016,2016-W-C10-ESP-10A-2016-10
3391,2016,2016-W-C25-CHN-05A-2016-25
3388,2016,2016-W-C10-MDA-02A-2016-10
3388,2016,2016-W-C10-GBR-07A-2016-10
3387,2016,2016-W-C25-USA-04A-2016-25
3383,2016,2016-7395-C
3378,2016,2016-W-C10-TUR-02A-2016-10
3377,2016,2016-W-C10-COL-04A-2016-10
3375,2016,2016-7011-C
3374,2016,2016-W-C10-SWE-01A-2016-10
3372,2016,2016-0213-C
3368,2016,2016-W-C10-ARG-08A-2016-10
3366,2016,2016-W-C10-COL-03A-2016-10
3363,2016,2016-W-C10-ITA-11A-2016-10
3363,2016,2016-3628-C
3358,2016,2016-W-C10-KOR-02A-2016-10
3358,2016,2016-1797-C
3357,2016,2016-W-C25-MEX-01A-2016-25
3357,2016,2016-1539-C
3357,2016,2016-1076-I
3355,2016,2016-0221-C
3351,2016,2016-W-C10-BUL-02A-2016-10
3348,2016,2016-7015-C
3347,2016,2016-7586-C
3347,2016,2016-W-C10-TUR-21A-2016-10
3343,2016,2016-W-C10-TUR-01A-2016-10
3340,2016,2016-W-C10-BRA-01A-2016-10
3339,2016,2016-W-C10-TUN-04A-2016-10
3337,2016,2016-W-C50-FRA-04A-2016-50
3328,2016,2016-0375-A
3326,2016,2016-6116-A
3325,2016,2016-W-C10-CHN-01A-2016-10
3325,2016,2016-W-C100-CHN-03A-2016-100
3324,2016,2016-W-C10-NED-04A-2016-10
3319,2016,2016-W-C10-EGY-40A-2016-10
3317,2016,2016-W-C10-ISR-06B-2016-10
3317,2016,2016-W-C10-EGY-30A-2016-10
3315,2016,2016-W-C10-AUT-03A-2016-10
3308,2016,2016-0406-I
3301,2016,2016-W-C10-CRO-07A-2016-10
3300,2016,2016-0308-A
3300,2016,2016-W-C25-HUN-04A-2016-25
3298,2016,2016-W-C10-TUR-39A-2016-10
3297,2016,2016-W-C10-ESP-03A-2016-10
3296,2016,2016-W-C10-ESP-09A-2016-10
3296,2016,2016-2278-C
3291,2016,2016-1741-C
3289,2016,2016-0600-C
3289,2016,2016-W-C10-CRO-06A-2016-10
3288,2016,2016-W-C10-EGY-15A-2016-10
3287,2016,2016-W-C25-TUN-01A-2016-25
3287,2016,2016-6313-C
3279,2016,2016-0500-A
3277,2016,2016-W-C100-FRA-04A-2016-100
3276,2016,2016-W-C10-CRO-04A-2016-10
3275,2016,2016-W-C25-CHN-02A-2016-25
3271,2016,2016-W-C10-EGY-41A-2016-10
3269,2016,2016-0315-A
3268,2016,2016-W-C25-ITA-02A-2016-25
3268,2016,2016-W-C10-POL-03A-2016-10
3268,2016,2016-W-C10-CRO-06B-2016-10
3265,2016,2016-W-C25-USA-07A-2016-25
3265,2016,2016-W-C10-ESP-16B-2016-10
3260,2016,2016-6250-C
3259,2016,2016-W-C10-GRE-02A-2016-10
3256,2016,2016-W-C10-POL-01A-2016-10
3256,2016,2016-W-C100-FRA-02A-2016-100
3255,2016,2016-7235-C
3255,2016,2016-W-C10-POR-01A-2016-10
3251,2016,2016-W-C25-AUS-08A-2016-25
3251,2016,2016-W-C10-SRB-03A-2016-10
3244,2016,2016-W-C10-EGY-33A-2016-10
3244,2016,2016-W-C10-TUR-26A-2016-10
3243,2016,2016-W-C10-TUN-20A-2016-10
3241,2016,2016-W-C10-ESP-05A-2016-10
3234,2016,2016-7027-C
3233,2016,2016-W-C50-FRA-02A-2016-50
3232,2016,2016-W-C50-GBR-03A-2016-50
3231,2016,2016-6284-C
3229,2016,2016-0311-A
3228,2016,2016-W-C100-JPN-01A-2016-100
3225,2016,2016-W-C10-NOR-02A-2016-10
3224,2016,2016-W-C25-AUS-04A-2016-25
3222,2016,2016-1080-I
3221,2016,2016-1041-I
3221,2016,2016-W-C25-GER-02A-2016-25
3220,2016,2016-W-C50-USA-04A-2016-50
3220,2016,2016-6055-C
3215,2016,2016-7664-C
3214,2016,2016-W-C10-ESP-17A-2016-10
3213,2016,2016-0228-C
3212,2016,2016-W-C10-GBR-02A-2016-10
3212,2016,2016-W-C10-GRE-06A-2016-10
3212,2016,2016-W-C10-SWE-02A-2016-10
3211,2016,2016-W-C25-KAZ-01A-2016-25
3207,2016,2016-W-C10-USA-02A-2016-10
3200,2016,2016-0717-A
3199,2016,2016-W-C25-BEL-02A-2016-25
3195,2016,2016-0319-A
3191,2016,2016-W-C10-GER-04A-2016-10
3189,2016,2016-W-C10-TUN-29A-2016-10
3188,2016,2016-3834-C
3187,2016,2016-1607-C
3186,2016,2016-W-C10-EGY-47A-2016-10
3185,2016,2016-W-C25-AUS-05A-2016-25
3184,2016,2016-W-C25-GEO-04A-2016-25
3184,2016,2016-W-C50-FRA-01A-2016-50
3183,2016,2016-W-C10-TUN-02A-2016-10
3183,2016,2016-W-C25-JPN-02B-2016-25
3180,2016,2016-W-C75-USA-03A-2016-75
3179,2016,2016-0495-A
3175,2016,2016-W-C25-RUS-01A-2016-25
3170,2016,2016-1024-I
3169,2016,2016-W-C10-THA-02A-2016-10
3169,2016,2016-0670-C
3168,2016,2016-7397-C
3166,2016,2016-W-C50-GER-05A-2016-50
3166,2016,2016-W-C50-CAN-03A-2016-50
3164,2016,2016-W-C25-UZB-01A-2016-25
3164,2016,2016-W-C25-IND-02A-2016-25
3163,2016,2016-W-C10-UKR-02A-2016-10
3162,2016,2016-W-C10-USA-05A-2016-10
3162,2016,2016-W-C10-INA-02A-2016-10
3155,2016,2016-1039-I
3148,2016,2016-W-C25-SUI-01A-2016-25
3145,2016,2016-W-C75-USA-04A-2016-75
3145,2016,2016-W-C10-THA-04A-2016-10
3145,2016,2016-0460-C
3143,2016,2016-W-C10-AZE-03A-2016-10
3140,2016,2016-5049-C
3139,2016,2016-W-C10-ITA-19A-2016-10
3137,2016,2016-W-C25-JPN-04A-2016-25
3135,2016,2016-7614-C
3133,2016,2016-W-C10-EGY-43A-2016-10
3128,2016,2016-W-C10-MEX-06A-2016-10
3128,2016,2016-W-C25-GER-01A-2016-25
3127,2016,2016-W-C25-BLR-02A-2016-25
3124,2016,2016-W-C10-ROU-06A-2016-10
3123,2016,2016-0786-C
3122,2016,2016-W-C25-HKG-01A-2016-25
3121,2016,2016-0083-C
3116,2016,2016-W-C10-CZE-01A-2016-10
3104,2016,2016-W-C50-CHN-08A-2016-50
3103,2016,2016-W-C10-EGY-06A-2016-10
3102,2016,2016-W-C10-USA-03A-2016-10
3099,2016,2016-0328-A
3098,2016,2016-9001-C
3093,2016,2016-W-C10-USA-02B-2016-10
3092,2016,2016-W-C50-FRA-03A-2016-50
3090,2016,2016-3626-C
3085,2016,2016-W-C10-ITA-10A-2016-10
3081,2016,2016-W-C10-BRA-02A-2016-10
3080,2016,2016-W-C10-JPN-04A-2016-10
3078,2016,2016-W-C10-AUT-02A-2016-10
3076,2016,2016-1079-I
3074,2016,2016-0603-C
3071,2016,2016-W-C10-TUN-15A-2016-10
3070,2016,2016-4042-C
3070,2016,2016-W-C10-EGY-16A-2016-10
3062,2016,2016-7333-C
3060,2016,2016-W-C10-BEL-06A-2016-10
3057,2016,2016-W-C25-THA-03A-2016-25
3057,2016,2016-7083-C
3057,2016,2016-W-C10-EGY-32A-2016-10
3056,2016,2016-W-C10-BEL-05A-2016-10
3056,2016,2016-6120-A
3054,2016,2016-W-C10-GRE-04A-2016-10
3053,2016,2016-W-C10-BRA-05A-2016-10
3047,2016,2016-W-C25-AUS-09A-2016-25
3046,2016,2016-W-C10-ROU-02A-2016-10
3044,2016,2016-1088-I
3036,2016,2016-W-C10-TUR-05A-2016-10
3035,2016,2016-W-C10-BEL-03A-2016-10
3034,2016,2016-W-C10-ESP-08A-2016-10
3034,2016,2016-W-C10-TUR-04A-2016-10
3033,2016,2016-W-C10-EGY-31A-2016-10
3033,2016,2016-W-C10-GRE-13A-2016-10
3031,2016,2016-W-C10-TUR-45A-2016-10
3028,2016,2016-W-C25-USA-11A-2016-25
3026,2016,2016-W-C10-KAZ-01A-2016-10
3026,2016,2016-1083-C
3025,2016,2016-W-C10-SRB-02A-2016-10
3023,2016,2016-W-C10-TUN-33A-2016-10
3019,2016,2016-7095-C
3018,2016,2016-W-C10-MAR-01A-2016-10
3007,2016,2016-W-C25-CHN-03A-2016-25
3003,2016,2016-W-C25-AUS-01A-2016-25
3003,2016,2016-W-C10-TUR-27A-2016-10
3002,2016,2016-M053-C
3002,2016,2016-W-C10-TUN-28A-2016-10
3001,2016,2016-W-C10-ESP-13A-2016-10
3000,2016,2016-W-C10-ROU-07A-2016-10
2996,2016,2016-W-C50-USA-06A-2016-50
2996,2016,2016-0637-C
2996,2016,2016-W-C25-ITA-03A-2016-25
2995,2016,2016-W-C10-ISR-09A-2016-10
2988,2016,2016-W-C10-CAN-01A-2016-10
2985,2016,2016-W-C10-USA-01A-2016-10
2980,2016,2016-W-C10-ITA-20A-2016-10
2979,2016,2016-W-C10-FRA-07A-2016-10
2976,2016,2016-W-C10-KAZ-05A-2016-10
2969,2016,2016-W-C10-BEL-07A-2016-10
2964,2016,2016-W-C10-EGY-23A-2016-10
2962,2016,2016-W-C25-KOR-01A-2016-25
2957,2016,2016-W-C50-GBR-01A-2016-50
2955,2016,2016-W-C25-USA-10A-2016-25
2953,2016,2016-W-C10-TUN-35A-2016-10
2952,2016,2016-W-C50-CHN-03A-2016-50
2949,2016,2016-W-C25-UZB-03A-2016-25
2946,2016,2016-W-C10-NED-03A-2016-10
2946,2016,2016-W-C10-MAR-05A-2016-10
2941,2016,2016-W-C10-TUR-42A-2016-10
2938,2016,2016-7297-C
2936,2016,2016-0301-A
2935,2016,2016-W-C10-TUR-11A-2016-10
2935,2016,2016-6961-C
2933,2016,2016-W-C25-ITA-05B-2016-25
2931,2016,2016-W-C10-ITA-22A-2016-10
2930,2016,2016-0402-A
2927,2016,2016-W-C10-POR-04A-2016-10
2926,2016,2016-W-C25-BRA-01A-2016-25
2926,2016,2016-7389-C
2925,2016,2016-W-C25-CHN-02B-2016-25
2922,2016,2016-1056-P
2921,2016,2016-W-C10-TUN-13A-2016-10
2913,2016,2016-W-C10-BUL-01A-2016-10
2913,2016,2016-W-C10-TUN-31A-2016-10
2913,2016,2016-W-C25-AUS-02A-2016-25
2912,2016,2016-W-C10-JPN-02A-2016-10
2912,2016,2016-7290-A
2911,2016,2016-W-C25-SWE-01A-2016-25
2908,2016,2016-W-C10-SRB-04A-2016-10
2905,2016,2016-W-C10-TUN-08A-2016-10
2903,2016,2016-0439-A
2903,2016,2016-W-C10-KOR-03A-2016-10
2902,2016,2016-7201-C
2900,2016,2016-1064-I
2895,2016,2016-W-C10-BRA-04A-2016-10
2894,2016,2016-W-C10-AUT-04A-2016-10
2891,2016,2016-7288-C
2882,2016,2016-0407-A
2879,2016,2016-W-C10-GRE-03A-2016-10
2878,2016,2016-W-C10-ITA-03A-2016-10
2877,2016,2016-W-C10-EGY-10A-2016-10
2875,2016,2016-W-C50-CAN-02A-2016-50
2872,2016,2016-W-C10-ISR-05A-2016-10
2855,2016,2016-W-C50-CAN-01A-2016-50
2855,2016,2016-5057-C
2853,2016,2016-W-C10-EGY-21A-2016-10
2851,2016,2016-7247-C
2849,2016,2016-W-C10-RSA-03A-2016-10
2848,2016,2016-W-C50-GER-06A-2016-50
2843,2016,2016-W-C25-BRA-03A-2016-25
2843,2016,2016-W-C10-TUR-07A-2016-10
2840,2016,2016-6795-C
2835,2016,2016-W-C10-SWE-04A-2016-10
2830,2016,2016-1051-P
2829,2016,2016-W-C10-SLO-02A-2016-10
2827,2016,2016-W-C50-USA-09A-2016-50
2826,2016,2016-0329-A
2824,2016,2016-W-C10-ITA-07A-2016-10
2823,2016,2016-W-C10-ITA-13A-2016-10
2819,2016,2016-W-C10-EGY-03A-2016-10
2814,2016,2016-7093-C
2812,2016,2016-0341-A
2810,2016,2016-W-C50-CHN-06A-2016-50
2810,2016,2016-W-C10-NED-06A-2016-10
2807,2016,2016-2120-C
2806,2016,2016-W-C100-FRA-05A-2016-100
2802,2016,2016-1077-I
2801,2016,2016-0405-I
2787,2016,2016-W-C25-FRA-05A-2016-25
2783,2016,2016-W-C25-SUI-02A-2016-25
2781,2016,2016-W-C10-TUR-06A-2016-10
2780,2016,2016-W-C10-TUR-39B-2016-10
2778,2016,2016-W-C10-GRE-14A-2016-10
2775,2016,2016-W-C10-TUN-14A-2016-10
2772,2016,2016-7490-C
2767,2016,2016-W-C10-UKR-01A-2016-10
2767,2016,2016-W-C25-BLR-01A-2016-25
2766,2016,2016-W-C25-GER-05A-2016-25
2758,2016,2016-W-C10-TUR-46A-2016-10
2755,2016,2016-W-C25-USA-18A-2016-25
2755,2016,2016-1768-C
2752,2016,2016-W-C10-EGY-37A-2016-10
2749,2016,2016-W-C10-EGY-08A-2016-10
2749,2016,2016-W-C10-ITA-12A-2016-10
2746,2016,2016-W-C25-UZB-02A-2016-25
2744,2016,2016-6963-C
2740,2016,2016-0316-A
2738,2016,2016-7485-A
2737,2016,2016-W-WITF-AUS-13A-2016-50
2735,2016,2016-0496-A
2734,2016,2016-W-C10-TUR-44A-2016-10
2731,2016,2016-M020-A
